participant,vviq,block,trial_number,similarity_bin,target_color,distr_color,td_dist,left_color,right_color,target_noise,distr_noise,target_x,distr_x,cue_n,cue_pos,cued_color,resp_color,error,abs_err,noise,be_c,abs_be_c,bias_to_distr_raw,bias_to_distr_corr
S28,48,0,1,45,105.74,153.27,47.53,105.74,153.27,low,high,-300,300,1,-300,105.74,92,-13.74,13.74,low - high,-11.3188922136464,11.3188922136464,-13.74,-11.3188922136464
S28,48,0,2,20,-175.89,166.71,-17.4,166.71,184.11,high,low,300,-300,1,300,184.11,183,-1.11000000000001,1.11000000000001,high - low,-0.0856082307577221,0.0856082307577221,1.11000000000001,0.0856082307577221
S28,48,0,3,45,171.74,127.92,-43.82,127.92,171.74,high,high,300,-300,1,300,171.74,173,1.25999999999999,1.25999999999999,high - high,3.6811077863536,3.6811077863536,-1.25999999999999,-3.6811077863536
S28,48,0,4,45,-156.07,159.19,-44.74,203.93,159.19,high,low,-300,300,1,-300,203.93,209,5.06999999999994,5.06999999999994,high - low,7.49110778635354,7.49110778635354,-5.06999999999994,-7.49110778635354
S28,48,0,5,45,139.77,-177.85,42.38,139.77,182.15,low,high,-300,300,1,-300,139.77,146,6.23000000000002,6.23000000000002,low - high,8.65110778635362,8.65110778635362,6.23000000000002,8.65110778635362
S28,48,0,6,135,-31.4,106.3,137.7,328.6,466.3,low,high,-300,300,1,-300,328.6,-18,13.4,13.4,low - high,15.072327430439,15.072327430439,13.4,15.072327430439
S28,48,0,7,45,145.65,-168.03,46.32,145.65,191.97,low,low,-300,300,1,-300,145.65,147,1.35000000000002,1.35000000000002,low - low,3.77110778635362,3.77110778635362,1.35000000000002,3.77110778635362
S28,48,0,8,135,18.97,-117.74,-136.71,18.97,-117.74,high,high,-300,300,1,-300,18.97,33,14.03,14.03,high - high,15.702327430439,15.702327430439,-14.03,-15.702327430439
S28,48,0,9,45,35.48,-11.07,-46.55,-11.07,35.48,high,high,300,-300,1,300,35.48,39,3.51999999999998,3.51999999999998,high - high,5.94110778635359,5.94110778635359,-3.51999999999998,-5.94110778635359
S28,48,0,10,45,46.6,-0.82,-47.42,46.6,-0.82,high,high,-300,300,1,-300,46.6,33,-13.6,13.6,high - high,-11.1788922136464,11.1788922136464,13.6,11.1788922136464
S28,48,1,1,45,-57.06,-103.73,-46.67,302.94,256.27,high,high,-300,300,1,-300,302.94,315,12.0599999999999,12.0599999999999,high - high,14.4811077863536,14.4811077863536,-12.0599999999999,-14.4811077863536
S28,48,1,2,135,-72.44,61.2899999999999,133.73,287.56,421.29,high,low,-300,300,1,-300,287.56,297,9.44000000000005,9.44000000000005,high - low,11.1123274304391,11.1123274304391,9.44000000000005,11.1123274304391
S28,48,1,3,20,-6.5,-28.28,-21.78,331.72,353.5,high,low,300,-300,1,300,353.5,341,-12.5,12.5,high - low,-11.4756082307577,11.4756082307577,12.5,11.4756082307577
S28,48,1,4,135,-175,-39.5800000000001,135.42,185,320.42,high,low,-300,300,1,-300,185,168,-17,17,high - low,-15.327672569561,15.327672569561,-17,-15.327672569561
S28,48,1,5,135,43.97,-89.41,-133.38,-89.41,43.97,high,high,300,-300,1,300,43.97,277,-126.97,126.97,high - high,-125.297672569561,125.297672569561,126.97,125.297672569561
S28,48,1,6,45,90.3,45.14,-45.16,90.3,45.14,high,high,-300,300,1,-300,90.3,97,6.70000000000005,6.70000000000005,high - high,9.12110778635364,9.12110778635364,-6.70000000000005,-9.12110778635364
S28,48,1,7,135,-23.4,111.93,135.33,471.93,336.6,low,high,300,-300,1,300,336.6,314,-22.6,22.6,low - high,-20.927672569561,20.927672569561,-22.6,-20.927672569561
S28,48,1,8,45,-111.3,-65.4100000000001,45.89,294.59,248.7,low,high,300,-300,1,300,248.7,226,-22.7,22.7,low - high,-20.2788922136464,20.2788922136464,-22.7,-20.2788922136464
S28,48,1,9,135,130.56,-94.0399999999999,135.4,130.56,265.96,high,low,-300,300,1,-300,130.56,108,-22.5599999999999,22.5599999999999,high - low,-20.8876725695609,20.8876725695609,-22.5599999999999,-20.8876725695609
S28,48,1,10,135,-55.23,78.85,134.08,304.77,438.85,high,high,-300,300,1,-300,304.77,294,-10.77,10.77,high - high,-9.09767256956098,9.09767256956098,-10.77,-9.09767256956098
S28,48,1,11,20,118.24,137.56,19.32,137.56,118.24,high,high,300,-300,1,300,118.24,88,-30.24,30.24,high - high,-29.2156082307577,29.2156082307577,-30.24,-29.2156082307577
S28,48,1,12,20,123.45,146.24,22.79,146.24,123.45,high,low,300,-300,1,300,123.45,175,51.55,51.55,high - low,52.5743917692423,52.5743917692423,51.55,52.5743917692423
S28,48,1,13,135,144.1,-81.2100000000001,134.69,144.1,278.79,low,low,-300,300,1,-300,144.1,140,-4.10000000000002,4.10000000000002,low - low,-2.42767256956102,2.42767256956102,-4.10000000000002,-2.42767256956102
S28,48,1,14,20,-176.6,165.32,-18.08,183.4,165.32,low,high,-300,300,1,-300,183.4,150,-33.4,33.4,low - high,-32.3756082307577,32.3756082307577,33.4,32.3756082307577
S28,48,1,15,45,106.27,153.92,47.65,106.27,153.92,high,low,-300,300,1,-300,106.27,109,2.73000000000002,2.73000000000002,high - low,5.15110778635363,5.15110778635363,2.73000000000002,5.15110778635363
S28,48,1,16,135,-130.14,94.13,-135.73,94.13,229.86,high,high,300,-300,1,300,229.86,-122,8.13999999999999,8.13999999999999,high - high,9.81232743043898,9.81232743043898,-8.13999999999999,-9.81232743043898
S28,48,1,17,20,168.19,-171.83,19.98,188.17,168.19,low,high,300,-300,1,300,168.19,151,-17.1900000000001,17.1900000000001,low - high,-16.1656082307578,16.1656082307578,-17.1900000000001,-16.1656082307578
S28,48,1,18,20,95.36,113.64,18.28,113.64,95.36,high,low,300,-300,1,300,95.36,107,11.64,11.64,high - low,12.6643917692423,12.6643917692423,11.64,12.6643917692423
S28,48,1,19,20,-74.57,-96.39,-21.82,263.61,285.43,high,low,300,-300,1,300,285.43,314,28.5699999999999,28.5699999999999,high - low,29.5943917692422,29.5943917692422,-28.5699999999999,-29.5943917692422
S28,48,1,20,20,-111.73,-90.5,21.23,248.27,269.5,low,high,-300,300,1,-300,248.27,236,-12.27,12.27,low - high,-11.2456082307577,11.2456082307577,-12.27,-11.2456082307577
S28,48,1,21,20,-123.54,-143.61,-20.07,236.46,216.39,high,low,-300,300,1,-300,236.46,249,12.54,12.54,high - low,13.5643917692422,13.5643917692422,-12.54,-13.5643917692422
S28,48,1,22,45,178.39,-137.84,43.77,178.39,222.16,high,high,-300,300,1,-300,178.39,141,-37.39,37.39,high - high,-34.9688922136464,34.9688922136464,-37.39,-34.9688922136464
S28,48,1,23,135,-2.33000000000001,-135.92,-133.59,224.08,357.67,high,low,300,-300,1,300,357.67,358,0.329999999999927,0.329999999999927,high - low,2.00232743043891,2.00232743043891,-0.329999999999927,-2.00232743043891
S28,48,1,24,135,-129.96,93.6,-136.44,230.04,93.6,high,high,-300,300,1,-300,230.04,210,-20.04,20.04,high - high,-18.367672569561,18.367672569561,20.04,18.367672569561
