participant,block_i,expected_length,real_length,lengthDiff,trial_i_within_block,next_wave_in,targetMeanColor,distractorMeanColor,clicked_monster_id,correct,rt
26,1,6,6,0,1,6,194,363,0,1,3605
26,1,6,6,0,2,5,194,363,0,1,1688
26,1,6,6,0,3,4,194,363,0,1,2143
26,1,6,6,0,4,3,194,363,0,1,1466
26,1,6,6,0,5,2,194,363,0,1,1976
26,1,6,6,0,6,1,194,363,0,1,1334
26,2,7,6,-1,1,0,288,471,0,1,1638.00000000001
26,2,7,6,-1,2,6,288,471,0,1,1329.99999999999
26,2,7,6,-1,3,5,288,471,0,1,1165.99999999999
26,2,7,6,-1,4,4,288,471,0,1,2218
26,2,7,6,-1,5,3,288,471,0,1,1384
26,2,7,6,-1,6,2,288,471,0,1,1290
26,3,7,8,1,1,1,88,276,0,1,1508
26,3,7,8,1,2,6,88,276,0,1,1407
26,3,7,8,1,3,5,88,276,0,1,1340
26,3,7,8,1,4,4,88,276,0,1,1273.00000000001
26,3,7,8,1,5,3,88,276,0,1,1352.00000000001
26,3,7,8,1,6,2,88,276,0,1,1022
26,3,7,8,1,7,1,88,276,0,1,1876
26,3,7,8,1,8,0,88,276,0,1,1524.99999999999
26,4,5,5,0,1,5,241,440,0,1,1707
26,4,5,5,0,2,4,241,440,0,1,1330
26,4,5,5,0,3,3,241,440,0,1,1293.99999999999
26,4,5,5,0,4,2,241,440,0,1,1397
26,4,5,5,0,5,1,241,440,0,1,1971
26,5,6,6,0,1,0,155,340,0,1,1463
26,5,6,6,0,2,5,155,340,0,1,1443
26,5,6,6,0,3,4,155,340,0,1,2302
26,5,6,6,0,4,3,155,340,0,1,1206
26,5,6,6,0,5,2,155,340,0,1,3347
26,5,6,6,0,6,1,155,340,0,1,1163
26,6,6,3,-3,1,0,47,278,0,1,1414
26,6,6,3,-3,2,5,47,278,0,1,1095
26,6,6,3,-3,3,4,47,278,0,1,1289
26,7,6,8,2,1,3,336,551,0,1,1314.00000000001
26,7,6,8,2,2,5,336,551,0,1,1213
26,7,6,8,2,3,4,336,551,0,1,1086.99999999999
26,7,6,8,2,4,3,336,551,0,1,1153.00000000001
26,7,6,8,2,5,2,336,551,0,1,1270.00000000001
26,7,6,8,2,6,1,336,551,0,1,1082
26,7,6,8,2,7,0,336,551,0,1,1265
26,7,6,8,2,8,0,336,551,0,1,1099
26,8,7,11,4,1,7,33,216,0,1,1090
26,8,7,11,4,2,6,33,216,0,1,1457
26,8,7,11,4,3,5,33,216,0,1,1007
26,8,7,11,4,4,4,33,216,0,1,1550
26,8,7,11,4,5,3,33,216,0,1,1201
26,8,7,11,4,6,2,33,216,0,1,1057
26,8,7,11,4,7,1,33,216,0,1,1864
26,8,7,11,4,8,0,33,216,0,1,1262
26,8,7,11,4,9,0,33,216,0,1,1296
26,8,7,11,4,10,0,33,216,0,1,1432
26,8,7,11,4,11,0,33,216,0,1,1118
26,9,5,5,0,1,5,49,255,0,1,1224
26,9,5,5,0,2,4,49,255,0,1,985
26,9,5,5,0,3,3,49,255,0,1,1014
26,9,5,5,0,4,2,49,255,0,1,1157
26,9,5,5,0,5,1,49,255,0,1,1340
26,10,7,7,0,1,0,48,232,0,1,1250
26,10,7,7,0,2,6,48,232,0,1,1128
26,10,7,7,0,3,5,48,232,0,1,1143
26,10,7,7,0,4,4,48,232,0,1,1213
26,10,7,7,0,5,3,48,232,0,1,1432
26,10,7,7,0,6,2,48,232,0,1,1023
26,10,7,7,0,7,1,48,232,0,1,1354
26,11,7,8,1,1,0,73,244,0,1,1329.99999999997
26,11,7,8,1,2,6,73,244,0,1,1129
26,11,7,8,1,3,5,73,244,0,1,1147
26,11,7,8,1,4,4,73,244,0,1,2294
26,11,7,8,1,5,3,73,244,0,1,1211
26,11,7,8,1,6,2,73,244,0,1,1199
26,11,7,8,1,7,1,73,244,0,1,1115
26,11,7,8,1,8,0,73,244,0,1,1291
26,12,6,6,0,1,6,298,447,0,1,1774
26,12,6,6,0,2,5,298,447,0,1,1240
26,12,6,6,0,3,4,298,447,0,1,1218
26,12,6,6,0,4,3,298,447,0,1,1067.99999999997
26,12,6,6,0,5,2,298,447,0,1,1456
26,12,6,6,0,6,1,298,447,0,1,1229
26,13,7,3,-4,1,0,243,463,0,1,1241
26,13,7,3,-4,2,6,243,463,0,1,2196
26,13,7,3,-4,3,5,243,463,0,1,1151
26,14,6,2,-4,1,4,256,454,0,1,1278
26,14,6,2,-4,2,5,256,454,0,1,1193
26,15,6,9,3,1,4,54,263,0,1,1257.00000000003
26,15,6,9,3,2,5,54,263,0,1,1058
26,15,6,9,3,3,4,54,263,0,1,1131
26,15,6,9,3,4,3,54,263,0,1,1139.00000000003
26,15,6,9,3,5,2,54,263,0,1,1161
26,15,6,9,3,6,1,54,263,0,1,1147
26,15,6,9,3,7,0,54,263,0,1,1177
26,15,6,9,3,8,0,54,263,0,1,1270
26,15,6,9,3,9,0,54,263,0,1,1099
26,16,6,6,0,1,6,16,181,0,1,1180
26,16,6,6,0,2,5,16,181,0,1,1135
26,16,6,6,0,3,4,16,181,0,1,990
26,16,6,6,0,4,3,16,181,0,1,1247
26,16,6,6,0,5,2,16,181,0,1,1257
26,16,6,6,0,6,1,16,181,0,1,1106
26,17,6,4,-2,1,0,168,327,0,1,1418
26,17,6,4,-2,2,5,168,327,0,1,1286
26,17,6,4,-2,3,4,168,327,0,1,1218
26,17,6,4,-2,4,3,168,327,0,1,1269.00000000003
26,18,5,7,2,1,2,188,369,0,1,1239.99999999997
26,18,5,7,2,2,4,188,369,0,1,1191.99999999997
26,18,5,7,2,3,3,188,369,0,1,1162
26,18,5,7,2,4,2,188,369,0,1,1311
26,18,5,7,2,5,1,188,369,0,1,1215
26,18,5,7,2,6,0,188,369,0,1,1130.00000000003
26,18,5,7,2,7,0,188,369,0,1,1221
26,19,7,9,2,1,7,309,457,0,1,1915.00000000003
26,19,7,9,2,2,6,309,457,0,1,1209.99999999997
26,19,7,9,2,3,5,309,457,0,1,1539
26,19,7,9,2,4,4,309,457,0,1,1208
26,19,7,9,2,5,3,309,457,0,1,1108
26,19,7,9,2,6,2,309,457,0,1,1215.99999999997
26,19,7,9,2,7,1,309,457,0,1,1388.99999999997
26,19,7,9,2,8,0,309,457,0,1,1264
26,19,7,9,2,9,0,309,457,0,1,1141
26,20,7,7,0,1,7,192,393,0,1,1357.00000000003
26,20,7,7,0,2,6,192,393,0,1,1363
26,20,7,7,0,3,5,192,393,0,1,1333.00000000003
26,20,7,7,0,4,4,192,393,0,1,937.999999999971
26,20,7,7,0,5,3,192,393,0,1,991
26,20,7,7,0,6,2,192,393,0,1,1156
26,20,7,7,0,7,1,192,393,0,1,1045.00000000006
26,21,7,10,3,1,0,53,284,0,1,1248
26,21,7,10,3,2,6,53,284,0,1,1273
26,21,7,10,3,3,5,53,284,0,1,1160
26,21,7,10,3,4,4,53,284,0,1,1469
26,21,7,10,3,5,3,53,284,0,1,1157.00000000006
26,21,7,10,3,6,2,53,284,0,1,1931
26,21,7,10,3,7,1,53,284,0,1,1146
26,21,7,10,3,8,0,53,284,0,1,1176
26,21,7,10,3,9,0,53,284,0,1,1253
26,21,7,10,3,10,0,53,284,0,1,1178
26,22,6,3,-3,1,6,150,310,0,1,1504
26,22,6,3,-3,2,5,150,310,0,1,1822
26,22,6,3,-3,3,4,150,310,0,1,1298.99999999994
26,23,7,4,-3,1,3,150,328,0,1,2039
26,23,7,4,-3,2,6,150,328,0,1,1253
26,23,7,4,-3,3,5,150,328,0,1,1117
26,23,7,4,-3,4,4,150,328,0,1,1148
26,24,7,11,4,1,3,266,500,0,1,1306
26,24,7,11,4,2,6,266,500,0,1,1793
26,24,7,11,4,3,5,266,500,0,1,1181
26,24,7,11,4,4,4,266,500,0,1,1321
26,24,7,11,4,5,3,266,500,0,1,945
26,24,7,11,4,6,2,266,500,0,1,1095
26,24,7,11,4,7,1,266,500,0,1,1142
26,24,7,11,4,8,0,266,500,0,1,1294
26,24,7,11,4,9,0,266,500,0,1,1230.00000000006
26,24,7,11,4,10,0,266,500,0,1,1164
26,24,7,11,4,11,0,266,500,0,1,1064
26,25,7,7,0,1,7,139,299,0,1,1402
26,25,7,7,0,2,6,139,299,0,1,1359
26,25,7,7,0,3,5,139,299,0,1,1241
26,25,7,7,0,4,4,139,299,0,1,1171
26,25,7,7,0,5,3,139,299,0,1,2034
26,25,7,7,0,6,2,139,299,0,1,1073
26,25,7,7,0,7,1,139,299,0,1,977
26,26,5,6,1,1,0,272,500,0,1,1327
26,26,5,6,1,2,4,272,500,0,1,1324
26,26,5,6,1,3,3,272,500,0,1,1360.99999999994
26,26,5,6,1,4,2,272,500,0,1,1568
26,26,5,6,1,5,1,272,500,0,1,1381.99999999994
26,26,5,6,1,6,0,272,500,0,1,1423
26,27,6,6,0,1,6,185,350,0,1,1531
26,27,6,6,0,2,5,185,350,0,1,1736
26,27,6,6,0,3,4,185,350,0,1,1405.99999999994
26,27,6,6,0,4,3,185,350,0,1,1348
26,27,6,6,0,5,2,185,350,0,1,2474
26,27,6,6,0,6,1,185,350,0,1,1468.99999999994
26,28,5,5,0,1,0,117,314,0,1,1434.00000000006
26,28,5,5,0,2,4,117,314,0,1,1509
26,28,5,5,0,3,3,117,314,0,1,1430
26,28,5,5,0,4,2,117,314,0,1,2169.00000000006
26,28,5,5,0,5,1,117,314,0,1,1389
26,29,6,6,0,1,0,167,355,0,1,1595
26,29,6,6,0,2,5,167,355,0,1,1461
26,29,6,6,0,3,4,167,355,0,1,1310
26,29,6,6,0,4,3,167,355,0,1,1451
26,29,6,6,0,5,2,167,355,0,1,1365
26,29,6,6,0,6,1,167,355,0,1,1540
26,30,6,2,-4,1,0,108,285,0,1,1303
26,30,6,2,-4,2,5,108,285,0,1,1512
26,31,7,7,0,1,4,289,504,0,1,1512
26,31,7,7,0,2,6,289,504,0,1,1269.00000000006
26,31,7,7,0,3,5,289,504,0,1,1591
26,31,7,7,0,4,4,289,504,0,1,1268.00000000006
26,31,7,7,0,5,3,289,504,0,1,1249
26,31,7,7,0,6,2,289,504,0,1,1613
26,31,7,7,0,7,1,289,504,0,1,1392.00000000006
26,32,6,6,0,1,0,338,566,0,1,1482
26,32,6,6,0,2,5,338,566,0,1,1579
26,32,6,6,0,3,4,338,566,0,1,1313
26,32,6,6,0,4,3,338,566,0,1,1469
26,32,6,6,0,5,2,338,566,0,1,1463
26,32,6,6,0,6,1,338,566,0,1,1200
26,33,5,8,3,1,0,267,460,0,1,1572
26,33,5,8,3,2,4,267,460,0,1,1352
26,33,5,8,3,3,3,267,460,0,1,1330
26,33,5,8,3,4,2,267,460,0,1,1193
26,33,5,8,3,5,1,267,460,0,1,1370.99999999994
26,33,5,8,3,6,0,267,460,0,1,1399
26,33,5,8,3,7,0,267,460,0,1,1420
26,33,5,8,3,8,0,267,460,0,1,1327.99999999994
26,34,7,7,0,1,7,186,413,0,1,1275.00000000006
26,34,7,7,0,2,6,186,413,0,1,1340
26,34,7,7,0,3,5,186,413,0,1,1348
26,34,7,7,0,4,4,186,413,0,1,1390
26,34,7,7,0,5,3,186,413,0,1,1436
26,34,7,7,0,6,2,186,413,0,1,1235
26,34,7,7,0,7,1,186,413,0,1,1422
26,35,5,1,-4,1,0,38,255,0,1,2024.99999999994
26,36,7,7,0,1,7,147,323,0,1,1412
26,36,7,7,0,2,6,147,323,0,1,2184.00000000006
26,36,7,7,0,3,5,147,323,0,1,1128.00000000006
26,36,7,7,0,4,4,147,323,0,1,1214
26,36,7,7,0,5,3,147,323,0,1,1161
26,36,7,7,0,6,2,147,323,0,1,1163
26,36,7,7,0,7,1,147,323,0,1,1425
26,37,5,5,0,1,0,165,388,0,1,1176.00000000006
26,37,5,5,0,2,4,165,388,0,1,1036
26,37,5,5,0,3,3,165,388,0,1,1183
26,37,5,5,0,4,2,165,388,0,1,1014
26,37,5,5,0,5,1,165,388,0,1,1297
26,38,6,4,-2,1,0,111,300,0,1,1454.00000000006
