trial_index,category,final_img,correct,tot_correct,rt_last,participant
206,locks,./Images/locks/e1_s2.jpg,0,1,43823,13
206,locks,./Images/locks/e2_s2.jpg,1,1,43823,13
207,lunchbox,./Images/lunchbox/e2_s2.jpg,1,1,6870,13
207,lunchbox,./Images/lunchbox/e1_s1.jpg,0,1,6870,13
208,mustard,./Images/mustard/e1_s1.jpg,0,0,4701,13
208,mustard,./Images/mustard/e2_s1.jpg,0,0,4701,13
209,cooking_pot,./Images/cooking_pot/e1_s2.jpg,1,1,5876,13
209,cooking_pot,./Images/cooking_pot/e2_s1.jpg,0,1,5876,13
210,coffeemug,./Images/coffeemug/e1_s2.jpg,1,1,3093,13
210,coffeemug,./Images/coffeemug/e2_s2.jpg,0,1,3093,13
211,paper_cup,./Images/paper_cup/e1_s2.jpg,1,2,5700,13
211,paper_cup,./Images/paper_cup/e2_s2.jpg,1,2,5700,13
212,soap,./Images/soap/e1_s1.jpg,1,2,5550,13
212,soap,./Images/soap/e2_s1.jpg,1,2,5550,13
213,chip,./Images/chip/e1_s1.jpg,1,1,6099,13
213,chip,./Images/chip/e2_s2.jpg,0,1,6099,13
214,poker_chips,./Images/poker_chips/e1_s2.jpg,1,1,4443,13
214,poker_chips,./Images/poker_chips/e2_s1.jpg,0,1,4443,13
215,lemon,./Images/lemon/e1_s1.jpg,1,1,11749,13
215,lemon,./Images/lemon/e2_s1.jpg,0,1,11749,13
216,drink,./Images/drink/e2_s1.jpg,1,2,4742,13
216,drink,./Images/drink/e1_s1.jpg,1,2,4742,13
217,tape_dispenser,./Images/tape_dispenser/e2_s2.jpg,0,1,3249,13
217,tape_dispenser,./Images/tape_dispenser/e1_s2.jpg,1,1,3249,13
218,microwave,./Images/microwave/e2_s2.jpg,0,1,3379,13
218,microwave,./Images/microwave/e1_s2.jpg,1,1,3379,13
219,fridge,./Images/fridge/e2_s2.jpg,0,0,2903,13
219,fridge,./Images/fridge/e1_s2.jpg,0,0,2903,13
220,dryer,./Images/dryer/e2_s2.jpg,1,2,2918,13
220,dryer,./Images/dryer/e1_s2.jpg,1,2,2918,13
221,yarn,./Images/yarn/e2_s2.jpg,0,1,3198,13
221,yarn,./Images/yarn/e1_s1.jpg,1,1,3198,13
222,usb_key,./Images/usb_key/e2_s1.jpg,0,0,2943,13
222,usb_key,./Images/usb_key/e1_s1.jpg,0,0,2943,13
223,umbrella,./Images/umbrella/e1_s2.jpg,1,1,2616,13
223,umbrella,./Images/umbrella/e2_s2.jpg,0,1,2616,13
224,oj,./Images/oj/e2_s1.jpg,1,2,2119,13
224,oj,./Images/oj/e1_s2.jpg,1,2,2119,13
225,clocks,./Images/clocks/e1_s1.jpg,1,2,1928,13
225,clocks,./Images/clocks/e2_s2.jpg,1,2,1928,13
226,coins,./Images/coins/e1_s2.jpg,1,2,1956,13
226,coins,./Images/coins/e2_s1.jpg,1,2,1956,13
227,sugar_bowl,./Images/sugar_bowl/e2_s1.jpg,1,2,5144,13
227,sugar_bowl,./Images/sugar_bowl/e1_s2.jpg,1,2,5144,13
228,corkscrew,./Images/corkscrew/e2_s2.jpg,0,1,2918,13
228,corkscrew,./Images/corkscrew/e1_s1.jpg,1,1,2918,13
229,tictac,./Images/tictac/e2_s1.jpg,1,1,2616,13
229,tictac,./Images/tictac/e1_s2.jpg,0,1,2616,13
230,headphone_small,./Images/headphone_small/e2_s2.jpg,0,0,2713,13
230,headphone_small,./Images/headphone_small/e1_s2.jpg,0,0,2713,13
231,cardbox,./Images/cardbox/e2_s1.jpg,1,1,2283,13
231,cardbox,./Images/cardbox/e1_s1.jpg,0,1,2283,13
232,donut,./Images/donut/e1_s2.jpg,1,1,2526,13
232,donut,./Images/donut/e2_s2.jpg,0,1,2526,13
233,phone_antique,./Images/phone_antique/e2_s1.jpg,0,0,2131,13
233,phone_antique,./Images/phone_antique/e1_s1.jpg,0,0,2131,13
234,gummy,./Images/gummy/e1_s1.jpg,1,2,2935,13
234,gummy,./Images/gummy/e2_s2.jpg,1,2,2935,13
235,wallet,./Images/wallet/e1_s2.jpg,1,2,2889,13
235,wallet,./Images/wallet/e2_s2.jpg,1,2,2889,13
236,lotion,./Images/lotion/e2_s2.jpg,1,2,9440,13
236,lotion,./Images/lotion/e1_s2.jpg,1,2,9440,13
237,file_box,./Images/file_box/e2_s2.jpg,0,0,2922,13
237,file_box,./Images/file_box/e1_s2.jpg,0,0,2922,13
238,tea_pot,./Images/tea_pot/e2_s2.jpg,1,2,2733,13
238,tea_pot,./Images/tea_pot/e1_s2.jpg,1,2,2733,13
239,gift_box,./Images/gift_box/e1_s2.jpg,1,2,2814,13
239,gift_box,./Images/gift_box/e2_s2.jpg,1,2,2814,13
240,flask,./Images/flask/e2_s2.jpg,1,2,4253,13
240,flask,./Images/flask/e1_s2.jpg,1,2,4253,13
241,lottery_ticket,./Images/lottery_ticket/e2_s2.jpg,0,1,2397,13
241,lottery_ticket,./Images/lottery_ticket/e1_s2.jpg,1,1,2397,13
242,dresser,./Images/dresser/e1_s1.jpg,1,2,2259,13
242,dresser,./Images/dresser/e2_s2.jpg,1,2,2259,13
243,shoe,./Images/shoe/e1_s2.jpg,1,2,2226,13
243,shoe,./Images/shoe/e2_s1.jpg,1,2,2226,13
244,hand_puppet,./Images/hand_puppet/e2_s2.jpg,1,1,2150,13
244,hand_puppet,./Images/hand_puppet/e1_s2.jpg,0,1,2150,13
245,chapstick,./Images/chapstick/e2_s1.jpg,1,2,2266,13
245,chapstick,./Images/chapstick/e1_s1.jpg,1,2,2266,13
246,glass_orange,./Images/glass_orange/e1_s2.jpg,0,1,2205,13
246,glass_orange,./Images/glass_orange/e2_s2.jpg,1,1,2205,13
247,scanner,./Images/scanner/e2_s1.jpg,1,1,2018,13
247,scanner,./Images/scanner/e1_s2.jpg,0,1,2018,13
248,sharpie_pens,./Images/sharpie_pens/e2_s1.jpg,0,1,1911,13
248,sharpie_pens,./Images/sharpie_pens/e1_s1.jpg,1,1,1911,13
249,chips,./Images/chips/e2_s1.jpg,0,1,2917,13
249,chips,./Images/chips/e1_s1.jpg,1,1,2917,13
250,bills,./Images/bills/e2_s1.jpg,1,2,3299,13
250,bills,./Images/bills/e1_s1.jpg,1,2,3299,13
