participant,block,trial_number,t1_ori,t2_ori,t3_ori,target_position,cue_type,real_target_position,start_ori,resp_ori,error,abs_err,target_ori,diff_to_next,diff_to_prev
1,0,1,-82.49,-16.12,63.71,1,valid,1,84,-82,0.490000000000009,0.490000000000009,-82.49,-66.37,
1,0,2,-82.41,-84.4,50,1,invalid,2,126,23,-72.6,72.6,-84.4,45.6,-1.99
1,0,3,-28.66,82.73,-16.8,2,valid,2,129,-87,10.27,10.27,82.73,-80.47,-68.61
1,0,4,-25.29,6.09,70.36,3,valid,3,156,64,-6.36000000000001,6.36000000000001,70.36,,64.27
1,0,5,-22.61,-62.73,33.54,1,valid,1,60,1,23.61,23.61,-22.61,40.12,
1,0,6,40.57,-72.19,-58.01,3,valid,3,138,-61,-2.99000000000001,2.99000000000001,-58.01,,14.18
1,0,7,54.89,-76.04,-37.89,2,invalid,3,0,-23,14.89,14.89,-37.89,,38.15
1,0,8,10.18,-24.45,28.74,3,invalid,2,56,46,70.45,70.45,-24.45,-53.19,-34.63
1,0,9,89.92,9.05,33.8,3,valid,3,125,45,11.2,11.2,33.8,,24.75
1,0,10,-65.75,-61.35,-70.86,3,invalid,2,27,-82,-20.65,20.65,-61.35,9.50999999999999,4.39999999999999
1,0,11,-88.01,-2.86,-24.41,2,valid,2,29,-11,-8.13999999999999,8.13999999999999,-2.86,21.55,85.15
1,0,12,45.4,28.42,-70,3,valid,3,135,-73,-3,3,-70,,81.58
1,0,13,34.47,79.79,81.61,3,valid,3,31,79,-2.61000000000001,2.61000000000001,81.61,,1.81999999999999
1,0,14,-71.03,42.63,-55.82,1,neutral,1,119,71,-37.97,37.97,-71.03,66.34,
1,0,15,11.53,12.56,25.48,1,valid,1,5,24,12.47,12.47,11.53,-1.03,
1,1,1,-7.29,-75.1,4.97,1,valid,1,62,4,11.29,11.29,-7.29,67.81,
1,1,2,-55.56,-50.56,-24.63,3,invalid,1,52,80,-44.44,44.44,-55.56,-4.99999999999999,
1,1,3,-55.74,-70.75,7.05,3,neutral,3,3,11,3.94999999999999,3.94999999999999,7.05,,77.8
1,1,4,38.6,-44.75,28.72,2,valid,2,7,-44,0.75,0.75,-44.75,-73.47,-83.35
1,1,5,87.67,6.06,-82.82,2,invalid,1,36,-86,6.32999999999998,6.32999999999998,87.67,81.61,
1,1,6,-29.04,6.55,-48.42,2,valid,2,38,7,0.449999999999989,0.449999999999989,6.55,54.97,35.59
1,1,7,-29.06,-57.08,-40.88,2,invalid,1,20,51,80.06,80.06,-29.06,28.02,
1,1,8,-37.09,-54.13,-1.1,2,invalid,3,3,54,55.1,55.1,-1.1,,53.03
1,1,9,-3.26,58.83,-34.1,2,valid,2,46,-88,33.17,33.17,58.83,-87.07,62.09
1,1,10,68.69,-59.03,-33.1,1,neutral,3,9,-54,-20.9,20.9,-33.1,,25.93
1,1,11,-54.49,89.5,-8.78,3,invalid,1,122,73,-52.51,52.51,-54.49,36.01,
1,1,12,63.6,75.76,-86.33,2,neutral,2,158,-47,57.24,57.24,75.76,-17.91,12.16
1,1,13,-78.89,-83.55,79.03,1,valid,1,139,-72,6.88999999999999,6.88999999999999,-78.89,4.66,
1,1,14,74.73,59.5,-55.06,2,neutral,3,167,-65,-9.94,9.94,-55.06,,65.44
