subject,N,circ_sd,circ_sd_correct,n_by_subj,n_nonmissing,share_outliers,mean_abs_err,bias_rel_to_item_a
S1,288,37.966016207012,35.6452824276938,298,288,0.0694444444444445,28.2257507809602,19.0030301820105
S2,288,45.3598510119854,44.163449106784,297,288,0.0798611111111111,34.4228952852583,24.1268051709696
S3,286,37.5221152156701,36.1979600549904,296,286,0.0699300699300699,27.4456100614873,14.7678088847649
S4,288,42.7532111870486,41.4479064366821,298,288,0.0868055555555556,32.2647030969778,13.5427451713071
S5,282,52.3773446106254,49.0482894186628,292,282,0.113475177304965,40.2356839309578,15.5563148904981
S6,288,32.1425892977233,31.6867843844667,297,288,0.0555555555555556,22.1687573338137,19.4831128012286
S7,288,34.7850617947665,31.5298334803659,298,288,0.0416666666666667,26.6106317308085,19.8681781235212
S8,288,33.101450657401,31.1930891061011,298,288,0.0555555555555556,23.1640736318839,16.2048628971528
S9,288,45.5854862456354,43.9863770430834,297,288,0.107638888888889,32.8952248747142,15.952600178002
S10,288,45.5139788432036,44.6646512709599,298,288,0.114583333333333,33.8225206440979,21.6066681546233
S11,288,43.3553820772478,42.0970773681035,298,288,0.104166666666667,31.4991784583419,18.678750433909
S12,284,42.1566933447576,41.6301891672748,294,284,0.073943661971831,30.6403631690846,20.3395920859954
S13,288,26.2566670246202,25.3376080731315,298,288,0.0381944444444444,17.6033455764311,19.5402413369666
S14,287,37.7456894177079,36.7171971909471,297,287,0.0662020905923345,27.0669124230918,16.0563510997201
S15,287,36.5045901910244,35.7002921303817,297,287,0.0801393728222996,25.2550244888328,21.8549598991949
S16,288,48.4934051239376,44.6137492197862,298,288,0.0659722222222222,36.9203465392313,13.4274365686736
S17,288,36.8738401871756,34.1342523705247,298,288,0.0486111111111111,27.4536715629222,19.9051003713414
S18,287,26.0999225604339,25.5058884175487,297,287,0.0452961672473868,16.6711899348013,18.3625667476696
S19,287,54.4004608735704,52.9405284572632,297,287,0.146341463414634,41.0099313162109,14.1405725327248
S20,287,30.1567004297802,29.1562037542956,297,287,0.0383275261324042,21.6183010052977,15.245094734249
S21,288,26.3257106578529,25.4503022311823,298,288,0.0277777777777778,19.7895707220644,20.3470836164651
S22,288,40.8436938930402,39.4657291000022,298,288,0.0868055555555556,29.2420345140695,20.8279026397214
S23,287,29.2058259350139,27.7553129417167,297,287,0.0348432055749129,21.4046404132714,20.5558240366637
S24,287,45.3561466558694,41.1396404165542,297,287,0.10801393728223,33.214712173744,13.6508089128765
S25,287,34.9513490687499,33.9923084164888,297,287,0.0522648083623693,24.7860881156877,22.9945999331932
S26,288,35.0106708654742,34.3434068591624,298,288,0.0555555555555556,24.7364281101634,15.1314879621225
S27,287,37.012065890273,36.177034147784,297,287,0.0731707317073171,26.3134812660397,17.6474313391077
S28,288,32.2704500895188,30.9298307147635,298,288,0.0520833333333333,23.1996604349275,17.5245173820385
S29,288,29.9637400483906,28.2674214517244,298,288,0.0451388888888889,21.3141061748914,17.3338083714312
S30,287,38.2505104777188,35.9842548337934,297,287,0.0766550522648084,27.1354410779182,17.8106946091244
S31,287,26.2573624585462,25.4064148131614,297,287,0.0383275261324042,18.0922132366324,19.7677674704064
S32,288,37.6740588459408,36.058934000632,298,288,0.0590277777777778,28.2610504046458,15.3397685909345
S33,288,28.2453432411839,27.865954714014,297,288,0.0381944444444444,19.3282711264364,19.6092417530311
S34,288,36.7188064540586,35.6135772561022,298,288,0.0555555555555556,26.1527512863064,15.985929938444
S35,288,34.0810310686295,33.636305137136,298,288,0.0763888888888889,22.4761485563562,21.4859384244422
S36,288,28.0628089960821,27.2012253478409,298,288,0.0416666666666667,18.8268785238258,24.5276621355766
S37,279,54.636249661043,51.6777630026861,279,279,0.111111111111111,42.5248122157837,14.4423460192847
S38,288,33.2057867092432,32.0966977080875,298,288,0.0694444444444445,22.1830438239269,16.8704474459901
