participant,part2instr_presented,target_cor,variable,abs_err,variablef
826867,0,0,err_to_cor,12.0618256944176,corr. part
826867,0,0.8,err_to_cor,15.1981544270499,corr. part
826867,0,1,err_to_cor,10.9057233921579,corr. part
826867,1,1,err_to_cor,11.1426030516884,corr. part
826867,1,0,err_to_cor,14.9336233974794,corr. part
826867,1,0.8,err_to_cor,13.6527148443757,corr. part
826869,0,1,err_to_cor,22.9939599725349,corr. part
826869,0,0.8,err_to_cor,20.5485522458432,corr. part
826869,0,0,err_to_cor,28.836295759594,corr. part
826869,-1,0.8,err_to_cor,20.2161624863587,corr. part
826869,-1,0,err_to_cor,20.384853479543,corr. part
826869,-1,1,err_to_cor,22.221023880484,corr. part
826888,0,1,err_to_cor,16.5720747007985,corr. part
826888,0,0,err_to_cor,20.2731981414667,corr. part
826888,0,0.8,err_to_cor,20.4954033278516,corr. part
826888,1,0.8,err_to_cor,15.3329678880813,corr. part
826888,1,0,err_to_cor,16.4897386624864,corr. part
826888,1,1,err_to_cor,14.5251702450367,corr. part
826899,0,0.8,err_to_cor,19.0632104245473,corr. part
826899,0,1,err_to_cor,14.064735585846,corr. part
826899,0,0,err_to_cor,17.8017969809207,corr. part
826899,-1,0.8,err_to_cor,18.5801513816031,corr. part
826899,-1,0,err_to_cor,15.9535629521401,corr. part
826899,-1,1,err_to_cor,14.5850413000822,corr. part
826921,0,0.8,err_to_cor,14.679066087456,corr. part
826921,0,0,err_to_cor,14.5690058985676,corr. part
826921,0,1,err_to_cor,16.1859678522543,corr. part
826921,-1,0.8,err_to_cor,16.1217414235224,corr. part
826921,-1,0,err_to_cor,14.2111493731655,corr. part
826921,-1,1,err_to_cor,15.1079447603808,corr. part
826936,0,1,err_to_cor,9.53448808851749,corr. part
826936,0,0,err_to_cor,15.448616193147,corr. part
826936,0,0.8,err_to_cor,16.8177156475392,corr. part
826936,1,0.8,err_to_cor,14.8578223526931,corr. part
826936,1,1,err_to_cor,15.1077302048048,corr. part
826936,1,0,err_to_cor,14.6132741545983,corr. part
826937,0,0.8,err_to_cor,20.9571638664792,corr. part
826937,0,1,err_to_cor,17.1770810089081,corr. part
826937,0,0,err_to_cor,21.0484667830552,corr. part
826937,1,0.8,err_to_cor,18.1452446292069,corr. part
826937,1,1,err_to_cor,16.9828513101363,corr. part
826937,1,0,err_to_cor,23.3889831459462,corr. part
826961,0,1,err_to_cor,13.6872977983611,corr. part
826961,0,0,err_to_cor,17.4709660816761,corr. part
826961,0,0.8,err_to_cor,17.6569817998174,corr. part
826961,-1,1,err_to_cor,15.537334861114,corr. part
826961,-1,0.8,err_to_cor,23.7632148321167,corr. part
826961,-1,0,err_to_cor,21.1405249613597,corr. part
826968,0,0,err_to_cor,18.9319609163617,corr. part
826968,0,1,err_to_cor,20.6358818897136,corr. part
826968,0,0.8,err_to_cor,21.0704052976925,corr. part
826968,1,0.8,err_to_cor,18.6522933244356,corr. part
826968,1,1,err_to_cor,16.148147040941,corr. part
826968,1,0,err_to_cor,18.4063728849317,corr. part
826972,0,0,err_to_cor,24.7818826733505,corr. part
826972,0,1,err_to_cor,25.2237388542828,corr. part
826972,0,0.8,err_to_cor,29.0894983276082,corr. part
826972,-1,1,err_to_cor,24.8622985492549,corr. part
826972,-1,0,err_to_cor,34.0056345301289,corr. part
826972,-1,0.8,err_to_cor,36.5222653601489,corr. part
826973,0,0.8,err_to_cor,15.1372895159451,corr. part
826973,0,1,err_to_cor,13.5560194041814,corr. part
826973,0,0,err_to_cor,15.7368564148759,corr. part
826973,1,1,err_to_cor,16.1513350712993,corr. part
826973,1,0.8,err_to_cor,15.1455054416543,corr. part
826973,1,0,err_to_cor,19.758228026203,corr. part
826974,0,0.8,err_to_cor,22.2911241091202,corr. part
826974,0,1,err_to_cor,21.7444590864983,corr. part
826974,0,0,err_to_cor,20.1918447042586,corr. part
826974,1,1,err_to_cor,20.3672710850901,corr. part
826974,1,0,err_to_cor,27.3105536403383,corr. part
826974,1,0.8,err_to_cor,24.0084967741055,corr. part
827061,0,0.8,err_to_cor,12.1335496212021,corr. part
827061,0,1,err_to_cor,9.59108206844191,corr. part
827061,0,0,err_to_cor,18.4821773346392,corr. part
827061,-1,0,err_to_cor,14.2738314772913,corr. part
